clean_comment,vader_textblob_sentiment,bert_sentiment,manual_label
"we have % food inflation rishi, try solving that equation!!",positive,label_1,
a per my opinion rishi sunak is doing right for his country.,positive,label_2,
he got a laugh. more than what starmer get i suppose. talking about starmer. do you think he ha come up with the banning of the white straight men policy?,positive,label_1,
wow crazy. in every other country you study math until you are: d why is it even a problem?,negative,label_0,
i am reassured.. that rishi is a nob.,neutral,label_2,
"reneged on previous commitment, wef, scripted agenda, loyalty to all but the people. vote reform, uk tory labor, and the system not fit for purpose",neutral,label_0,
health mera mobile thik karega future ma,neutral,label_1,
"seeing a compulsory school age is up to, how is he going to enforce it?",neutral,label_1,
"total balderdash. imposing a subject on a student, denies that student to study a subject at a-level that is crucial entry into admission to a university degree course. l wa imposed on subject like agriculture, physic, and chemistry, which made it impossible to study and sit woodworking, on musical instrument (piano and guitar ) with sound engineering. wasted year of studying history and geography at a-level. l should have studied car body repair and car mechanical repair. only the law is what l have found a the only subject that wa useful to study. banking and economics have not been useful. the math l completed at gcse (o'level ) is just adequate.",positive,label_0,
a useless subject if the average person will never use algebra or calculus. never have!! basic math skill for sure. who will teach: thinking_face: this? a lot of teacher are leaving the profession.,negative,label_0,
"i mean, it is not like he is going to answer them anyway",negative,label_1,
where is video edit and d animation: grinning_face_with_sweat:,neutral,label_1,
: clown_face::clown_face::clown_face::clown_face::clown_face:,neutral,label_0,
"vladimir arnold meant that proving theorem is possible witohut any material stuff - pen and paper only, while in physic an experiment is a judge for any cojecture to be wrong. so doing math doe not require any sponsor $ $",negative,label_1,
maybe sunak just talk about studying math longer because he is a rich kid and the question of whether he actually learned anything in school never really mattered?,positive,label_1,
"for you, for me, that is the correct method of division and sharing",positive,label_1,
decade of failure but we will change we promise really? poverty hunger homelessness any thing to address that misery,negative,label_0,
he can never give a straight answer.,neutral,label_0,
how can a person make million of pound on the reduction of the market.,neutral,label_1,
pragmatic for being part of criminal investigation during party gate?? which personally denied many time he broke the british law and he strong leader get fact right then tell me pathetic if you understand what these man did.. if you defend a man who lie to the public i wounder what else he will lie behide the huge desk his sitting on,negative,label_0,
"if the uk national debt is £tn in and £.tn in, what year will we have something to show for it? (please show your working and assume that 'we ' earn less than £, )",negative,label_1,
what is soft skill and hard skill please tell me,positive,label_1,
this is so cringe!,neutral,label_0,
"wa this written on the back of a cigarette packet in the common toilet? no wonder politics ha failed u, but not the billionaire.",negative,label_0,
bhai skill sikhe kahan se,neutral,label_1,
more math lesson is not the answer. so many kid can not engage with lesson. we need to be looking at a new approach to delivering the curriculum in all area s.,positive,label_0,
a a pakistani i fully support love and respect richie sunak on this issue,positive,label_2,
math from the party who crashed our economy,positive,label_0,
woh zaahil gore kya samjhenge?,neutral,label_1,
there is no doubt whatsoever sunak and the tory are anti working-class and ha no time at all for them and the less well off and others they consider consider beneath them they are hopelessly out of touch with reality and totally detached sunak ia a menace and is a very real danger to the working class and the less well off and others he could not care less about their lifestyle and the enormous amount of damage they are suffering at his and the tory hand their priority are crystal clear looking after the rich and wealthy and others like himself the sooner we get rid of this man and his bandit who call themselves the tory party the better,negative,label_0,
uk ke paas maa hain.,neutral,label_1,
"you have become socially unacceptable rishi.get out of number, you are killing thousand with poverish living, well existing, no life in uk anymore.",negative,label_0,
am hoping that our african leader welcome this idea and implement it especially in nigeria,positive,label_2,
"math, breaking the illusion of the fiat banking system. next come the central bank digital currency, keeping the dream alive.",positive,label_1,
"i have lost count of how many stand in teacher my child had during secondary school for math, with p.e teacher and other department covering for each other ’ s core subject a there is a lack. seems the lack of enthusiasm is deep rooted and a smile and lightbulb promise is not going to stir people up into a math frenzy. what about how much money the creative art especially digital medium brings into the economy yet we are taking away these pathway choice through government cut and herding youngster down core pathway. we do not all learn the same we will not all earn the same",positive,label_0,
