video_id,comment_id,text,author,published_at,like_count
Dhnxer0lClw,UgyM_GG2gzfQkP66FPZ4AaABAg,"This is very wrong and would cause a riot for most young people, control as usual",@andrewkennan2897,2023-10-07 17:28:20+00:00,0
Dhnxer0lClw,Ugx0ZCkuUV2_2ApXVi54AaABAg,Me in yr11: 🗿,@ivanexell-uz4mv,2023-10-06 17:41:14+00:00,0
Dhnxer0lClw,Ugy9ha3sZkH4jqDhyYp4AaABAg,"It has long been recognised (and one of the key reasons why countries like South Korea, Germany & Japan have been so successful) that long-term fixing and ring-fencing of an optimum allocation of education budget per pupil for schools (similar to what Gordon Brown invested in when he has PM before Cameron slashed it as part of austerity measures) improves the lives and wellbeing of not only children, but the long-term prospects of the country as a whole, including economic growth, entrepreneurship, innovation, employment, business success, etc.
Not only that, it has been shown to reduce long term Government expenditure on crime, unemployment, police, courts, prisons, mental health, physical health, obesity, etc. far beyond what the investment costs.
Having an agile and fully-funded world class education system (with healthy school meals for all) is a cornerstone to a nation's long-term success !",@SumiG_Playz,2023-10-06 09:57:11+00:00,0
Dhnxer0lClw,UgyiRs_NQuW7kGRq3Hl4AaABAg,Ye will I’m not forget about,@bSmooth_J,2023-10-04 17:21:38+00:00,1
Dhnxer0lClw,UgyJmLT3_hJWCEBzi1Z4AaABAg,Glad I’m at University now and not in College anymore,@georgebeltran3742,2023-10-04 16:48:27+00:00,0
Dhnxer0lClw,Ugw0PHb6FU1xXwEG0Pt4AaABAg,I love maths it is a easy subject if you understand formulas so you can solve hardest sums.,@jayashreethakare8895,2023-09-27 18:29:32+00:00,0
Dhnxer0lClw,Ugza3deN1cxj9gUTxx14AaABAg,"Rishi Sunak promotes a broken system. You can't force people to be good or even do anything, if they don't see why or feel unable to do it. 
The question to be asked here is: why do we have to force people to do it? Why don't they want to do it? How can we motivate them? Is the system failing the students and if so, why? 
It's always the same old story: if it doesn't work, add pressure to the people. 
That won't do any good, but at least you can tell yourself, you've done something. 
By the way, I didn't know that Mr.Sunak is an expert in education. Has he hidden talents as a mathematican or a math-teacher?😂",@charlottepeukert9095,2023-09-25 08:51:28+00:00,0
Dhnxer0lClw,UgxgT2NDSQTrN5uiuO14AaABAg,KUDOS TO UK 💀💀,@justforlaughgang870,2023-09-10 04:52:05+00:00,0
Dhnxer0lClw,Ugy-LrZ58ivcIwuAKVJ4AaABAg,"Indian schools should taught maths untill 18 even to arts students. 
Bcoz maths is in every govt. exam & there's no surprise if it get compulsory in UPSC in future.",@ankugreat5373,2023-07-15 16:43:31+00:00,1
Dhnxer0lClw,UgxoEehNnEDeHX4jXXJ4AaABAg,Meanwhile in America you take a math class every day of every year and later are grateful for geometry when you are laying/cutting tile flooring.,@autumnishotterthansummer,2023-05-04 20:44:24+00:00,0
Dhnxer0lClw,Ugz9-YyFkuRtchgDsNp4AaABAg,With AI now everywhere it seems redundant.,@THEF4LLOFM4N,2023-04-20 18:33:56+00:00,0
Dhnxer0lClw,UgzSHWQNhBgFLPTxEnJ4AaABAg,"How real is maths

We can make 1 quid into 10 out of fresh air

Shhh",@johndavies4644,2023-04-17 13:25:09+00:00,0
Dhnxer0lClw,UgxSpfo8evN2HIkJ7HF4AaABAg,"If you're not going to go into STEM, you're probably not going to need to work out the value of x. I like STEM subjects, including maths and I'm doing it at A level, but GCSE already has more maths than most people use on an everyday basis, so I don't see the point in forcing people to do maths for 2 more years even if they hate it? You'll forget everything you had to learn the moment you step out of the exam hall",@grassytramtracks,2023-02-19 21:25:37+00:00,0
